schemaId,schemaVersion,profileId,sourceContentHash,authorityKind,recordKind,recordId,actionStableId,legalityRuleSetRef,baseWeight,subjectiveRiskGateRef,enabled,sourceKind,selectorRef,priorityDelta,applicationOrder,capPolicyRef,diminishingPolicyRef,actionTotalCapPolicyRef,scope,minimum,maximum,appliesAfterSourceKind,inputBasis,activationThreshold,segments,outputBound,tieBreakPolicy,triggerStableId,riskThresholdDelta,knownEvidenceRefs,riskAssessmentRef,baseRiskThreshold,lifespanCapPolicyRef
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-sect-mansion-embryo,MANSION_EMBRYO_NURTURE,,,,,SECT,SECT_MANSION_CRAFT,12,1,cap-source-sect,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-sect-mansion-opening,MANSION_OPENING_TRIAL,,,,,SECT,SECT_MANSION_CRAFT,7,2,cap-source-sect,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-goal-foundation-nurture,FOUNDATION_NURTURE,,,,,REALM_GOAL,GOAL_FOUNDATION_COMPLETE,14,1,cap-source-realm-goal,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-goal-mansion-embryo,MANSION_EMBRYO_NURTURE,,,,,REALM_GOAL,GOAL_OPEN_MANSION,18,1,cap-source-realm-goal,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-goal-jindan,JINDAN_PROOF,,,,,REALM_GOAL,GOAL_JINDAN,20,1,cap-source-realm-goal,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-lifespan-urgent-jindan,JINDAN_PROOF,,,,,LIFESPAN,LIFE_URGENT,16,1,cap-source-lifespan,diminish-source,,,,,,,,,,,,-20,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-lifespan-stable-nurture,FOUNDATION_NURTURE,,,,,LIFESPAN,LIFE_STABLE,4,1,cap-source-lifespan,diminish-source,,,,,,,,,,,,0,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-resource-rich-opening,MANSION_OPENING_TRIAL,,,,,RESOURCE,RESERVE_RICH,10,1,cap-source-resource,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-resource-rich-jindan,JINDAN_PROOF,,,,,RESOURCE,RESERVE_RICH,12,2,cap-source-resource,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-resource-tight-nurture,FOUNDATION_NURTURE,,,,,RESOURCE,RESERVE_TIGHT,6,1,cap-source-resource,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-environment-rich-embryo,MANSION_EMBRYO_NURTURE,,,,,ENVIRONMENT,ENV_SPIRIT_RICH,10,1,cap-source-environment,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,MODIFIER,mod-environment-auspicious-jindan,JINDAN_PROOF,,,,,ENVIRONMENT,ENV_JINDAN_AUSPICIOUS,14,1,cap-source-environment,diminish-source,,,,,,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-source-personality,,,,,,,,,,,,,SOURCE_GROUP,-20,20,PERSONALITY,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-source-sect,,,,,,,,,,,,,SOURCE_GROUP,-20,20,SECT,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-source-realm-goal,,,,,,,,,,,,,SOURCE_GROUP,-20,20,REALM_GOAL,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-source-lifespan,,,,,,,,,,,,,SOURCE_GROUP,-20,20,LIFESPAN,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-source-resource,,,,,,,,,,,,,SOURCE_GROUP,-20,20,RESOURCE,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-source-environment,,,,,,,,,,,,,SOURCE_GROUP,-20,20,ENVIRONMENT,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-action-total,,,,,,,,,,,,,ACTION_TOTAL,0,130,ENVIRONMENT,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,CAP_POLICY,cap-risk-threshold,,,,,,,,,,,,,RISK_THRESHOLD,20,80,LIFESPAN,,,,,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,DIMINISHING_POLICY,diminish-source,,,,,,,,,,,,,SOURCE_GROUP,,,,ABSOLUTE_DELTA,10,0-10@1|10-20@0.5|20-100@0.25,20,,,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,RISK_GATE,risk-jindan-known,,,,,,,,,,,,,,,,,,,,,,,,KNOWN_JINDAN_OPPORTUNITY,subjective_success,60,cap-risk-threshold
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-action-legality-changed,,,,,,,,,,,,,,,,,,,,,,ACTION_LEGALITY_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-personality-or-sect-changed,,,,,,,,,,,,,,,,,,,,,,PERSONALITY_OR_SECT_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-realm-goal-changed,,,,,,,,,,,,,,,,,,,,,,REALM_GOAL_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-lifespan-pressure-band-changed,,,,,,,,,,,,,,,,,,,,,,LIFESPAN_PRESSURE_BAND_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-resource-availability-changed,,,,,,,,,,,,,,,,,,,,,,RESOURCE_AVAILABILITY_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-environment-context-changed,,,,,,,,,,,,,,,,,,,,,,ENVIRONMENT_CONTEXT_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-jindan-known-opportunity-changed,,,,,,,,,,,,,,,,,,,,,,JINDAN_KNOWN_OPPORTUNITY_CHANGED,,,,,
npcCultivationActionWeightProfile,1,npc-cultivation-production-v1,,,TRIGGER,trigger-current-action-stable-boundary,,,,,,,,,,,,,,,,,,,,,,CURRENT_ACTION_STABLE_BOUNDARY,,,,,
