# 多语言文本映射表
# 格式: id, zh_CN
# 所有其他 CSV 表中的文本字段均使用此表中的 ID 引用
#
# === 门派/势力 ===
faction_taiyidaoting,太一道庭
desc_lightning_sense,雷感：雷池修炼速度x3，被劈+0.1%雷抗
desc_lightning_quench,引雷淬体：修炼x3.5，HP上限+1%/3次
desc_iron_bone,雷肌铁骨：修炼x4，HP上限+1%/2次，物防+15%
desc_thunder_body,雷霆之躯：修炼x4.5
desc_indestructible,不坏：修炼x5
desc_kunde,坤德：肉身防御+10%，防御姿态减免5%
desc_zaiwu,厚德载物：防御+15%，载物被动HP降则防升
desc_kunyuan,坤元：防御+20%，坤元守护分摊30%
desc_hanhong,含弘光大：防御+25%，坤元守护分摊50%
desc_xianheng,咸亨：防御+30%，分摊转化HP+MP
desc_pinwu,品物
desc_hanmen,寒门：习新术法+1%暴击，灵力-20%
desc_kudu,苦读：修炼+15%，灵力-10%
desc_tuoying,脱颖：灵力惩罚移除，暴击+1%→+2%
desc_pingbu,平步：切换元素增伤+5%
desc_jingshi,经世：任意双元素切换，增伤+20%
desc_jinglun,经纶：全术法伤害+2%/新术法
desc_wanjun_ally,万钧：友方优势时肉攻+3%/人
desc_xuantong,玄同：上限+50%，同尘一击
desc_qingyue,倾岳：上限+80%，同尘一击x3.0
desc_zhiyi,执一：上限+100%，同尘一击x3.5，过载锁定5%
desc_shuwu,束伍：友方每单位+3%全防
desc_zhengfa,正法：上限+25%，执法光环
desc_yanming,严明：上限+35%，军令
desc_buyi,不移：上限+45%，背水
desc_junhun,军魂：上限+60%，光环扩散
desc_buqian,不迁：首次受大伤害减半，物抗+5%
desc_gujin,古今常存：减半5次，反弹
desc_wudai,无待：20%清除debuff，神识+3
desc_sekong,色空：30%清除，回血5%
desc_xuantong_chapter,玄同：50%清除，免疫控制
desc_wuwu,物物：80%清除，玄同2回合，MP-30%，神识+12

spell_tx_anshi,暗蚀

gongfa_qiushuiyouxin,秋水游心经
chapter_chuanliu,川流篇
chapter_shishui,逝水篇
chapter_qiushui,秋水篇
chapter_linshui,濒水篇
desc_chuanliu,川流减伤35%
desc_shishui,逝水叠防
desc_qiushui,秋水回血1%/回合
desc_linshui,濒死护盾
gongfa_yunzhuandurenjing,云篆度人经
chapter_lingbao,灵宝篇
desc_lingbao_fudan,云篆度人经·灵宝篇 效果描述
chapter_duren,度人篇
desc_duren_evolution,云篆度人经·度人篇 效果描述
chapter_yunzhuan,云篆篇
desc_yunzhuan_taixu,云篆度人经·云篆篇 效果描述
chapter_tianshu,天书篇
desc_tianshu_duer,云篆度人经·天书篇 效果描述
gongfa_nanhuadamengshu,南华大梦书
chapter_xiaoyaoyou,逍遥游篇
desc_xiaoyao_dodge,南华大梦书·逍遥游篇 效果描述
chapter_qiwulun,齐物论篇
desc_qiwu_diehua,南华大梦书·齐物论篇 效果描述
chapter_dazongshi,大宗师篇
desc_dazongshi_qiankun,南华大梦书·大宗师篇 效果描述
chapter_yingdiwang,应帝王篇
desc_yingdiwang_huapeng,南华大梦书·应帝王篇 效果描述
desc_qiushui_mengdie,南华大梦书·秋水篇 效果描述
chapter_tianxia,天下篇
desc_tianxia_wudai,南华大梦书·天下篇 效果描述
gongfa_nanhuachanyandian,南华阐衍典
chapter_duhua,独化篇
desc_duhua_zisheng,南华阐衍典·独化篇 效果描述
chapter_xingfen,性分篇
desc_xingfen_ziran,南华阐衍典·性分篇 效果描述
chapter_xuanming,玄冥篇
desc_xuanming_duhua,南华阐衍典·玄冥篇 效果描述
gongfa_dadonglianzhenjing,大洞炼真经
chapter_fuqi,服气篇
desc_fuqi_danhuo,大洞炼真经·服气篇 效果描述
chapter_caiyao,采药篇
desc_caiyao_evolution,大洞炼真经·采药篇 效果描述
chapter_jiuzhuan,九转篇
desc_jiuzhuan_evolution,大洞炼真经·九转篇 效果描述
chapter_huandan,还丹篇
desc_huandan_evolution,大洞炼真经·还丹篇 效果描述
chapter_taiqing,太清篇
desc_taiqing_evolution,大洞炼真经·太清篇 效果描述
gongfa_taiyishancangjing,太易山藏经
chapter_zhouyi,周易篇
desc_zhouyi_yishu,太易山藏经·周易篇 效果描述
chapter_lianshan,连山篇
desc_lianshan_evolution,太易山藏经·连山篇 效果描述
chapter_guicang,归藏篇
desc_guicang_evolution,太易山藏经·归藏篇 效果描述
chapter_taiji,太极篇
desc_taiji_evolution,太易山藏经·太极篇 效果描述
gongfa_taiyixuanyijian,太易玄义笺
chapter_mingtuan,明彖篇
desc_mingtuan_zhiyi,太易玄义笺·明彖篇 效果描述
chapter_mingxiang,明象篇
desc_mingxiang_wangxiang,太易玄义笺·明象篇 效果描述
chapter_mingyao,明爻篇
desc_mingyao_tongbian,太易玄义笺·明爻篇 效果描述
chapter_gualue,卦略篇
desc_gualue_wufang,太易玄义笺·卦略篇 效果描述
gongfa_xuanpindaocang,玄牝道藏
chapter_daokedao,道可道篇
desc_daokedao_dao,玄牝道藏·道可道篇 效果描述
chapter_xuanpin,玄牝篇
desc_xuanpin_zhimen,玄牝道藏·玄牝篇 效果描述
gongfa_kongwuborejing,空无般若经
chapter_kongguan,空观篇
desc_kongguan_zhaojian,空无般若经·空观篇 效果描述
chapter_wuxiang,无相篇
desc_wuxiang_kongseyiru,空无般若经·无相篇 效果描述
chapter_zhenru,真如篇
desc_zhenru_borezhenru,空无般若经·真如篇 效果描述
gongfa_jiansubaopujing,见素抱朴经
chapter_jindanpian,金丹篇
desc_jindanpian_huangbai,见素抱朴经·金丹篇 效果描述
chapter_xianyaopian,仙药篇
desc_xianyao_yuye,见素抱朴经·仙药篇 效果描述
chapter_zhilipian,至理篇
desc_zhili_shouyi,见素抱朴经·至理篇 效果描述
chapter_dizhenpian,地真篇
desc_dizhen_cunsi,见素抱朴经·地真篇 效果描述
chapter_xialanpian,遐览篇
desc_xialan_wanjuan,见素抱朴经·遐览篇 效果描述
chapter_quhuopian,祛惑篇
desc_quhuo_bianzhen,见素抱朴经·祛惑篇 效果描述
gongfa_tongshensanxuanlilu,通神三玄礼录
gongfa_jiujiangshuifulu,九江水府箓
gongfa_sandongfajilu,三洞法籍录
gongfa_taiyiyugedian,太一玉格典
gongfa_wanfadulujing,万法都箓经
gongfa_zhengyimengweilu,正一盟威箓
chapter_zhouli,周礼篇
desc_zhouli_liuguan,通神三玄礼录·周礼篇 效果描述
chapter_yili,仪礼篇
desc_yili_sanjia,通神三玄礼录·仪礼篇 效果描述
chapter_liji,礼记篇
desc_liji_liyun,通神三玄礼录·礼记篇 效果描述
chapter_tongshen,通神篇
chapter_shuifu,水府篇
chapter_qiju,棋局篇
chapter_lingzhou,灵舟篇
chapter_shuicao,水曹篇
chapter_xuanjiang,玄江篇
chapter_dongshen,洞神篇
chapter_dongxuan,洞玄篇
chapter_dongzhen,洞真篇
chapter_duji,都籍篇
chapter_lige,立格篇
chapter_mingling,明令篇
chapter_zhengfa,正法篇
chapter_yuge,玉格篇
chapter_dulu,都箓篇
chapter_shefa,摄法篇
chapter_zhengtong,正统篇
chapter_wanxiang,万象篇
chapter_mengwei,盟威篇
chapter_xueshi,血誓篇
chapter_dugong,都功篇
desc_tongshen_sanxuanheyi,通神三玄礼录·通神篇 效果描述
desc_shuifu_jiujiang,九江水府箓·水府篇 效果描述
desc_qiju_feishui,九江水府箓·棋局篇 效果描述
desc_lingzhou_jiujiang,九江水府箓·灵舟篇 效果描述
desc_shuicao_duling,九江水府箓·水曹篇 效果描述
desc_xuanjiang_fayu,九江水府箓·玄江篇 效果描述
desc_dongshen_sandong,三洞法籍录·洞神篇 效果描述
desc_dongxuan_jielu,三洞法籍录·洞玄篇 效果描述
desc_dongzhen_jiaoji,三洞法籍录·洞真篇 效果描述
desc_duji_zongjiao,三洞法籍录·都籍篇 效果描述
desc_lige_yuge,太一玉格典·立格篇 效果描述
desc_mingling_yuge,太一玉格典·明令篇 效果描述
desc_zhengfa_yuge,太一玉格典·正法篇 效果描述
desc_yuge_tiancao,太一玉格典·玉格篇 效果描述
desc_dulu_wanfa,万法都箓经·都箓篇 效果描述
desc_shefa_guizong,万法都箓经·摄法篇 效果描述
desc_zhengtong_chifa,万法都箓经·正统篇 效果描述
desc_wanxiang_xuanmen,万法都箓经·万象篇 效果描述
desc_mengwei_zhenlu,正一盟威箓·盟威篇 效果描述
desc_xueshi_xuemeng,正一盟威箓·血誓篇 效果描述
desc_dugong_zhengyi,正一盟威箓·都功篇 效果描述
spell_wanjunyinxian,万军引弦
spell_wanliuguizong,万流归宗
spell_buhuaijinshen,不坏金身
spell_jiuyuanhanquan,九渊寒泉
spell_jiuzhuandanhuo,九转丹火
spell_wuleifuchi,五雷符敕
spell_junshirushan,军势如山
spell_dadaoxuanyin,大道玄音
spell_tianshuyunzhuan,天书云篆
spell_tiangangfuzhen,天罡符阵
spell_taiqingyuye,太清玉液
spell_yufenglingxu,御风凌虚
spell_jiangliutiandi,江流天地
spell_qingfengjue,清风诀
spell_lingfumiaofa,灵符妙法
spell_xuanyuanzhengqijue,玄元正气诀
spell_pozhenci,破阵突刺
spell_panshizhuang,磐石桩
spell_naqiguiyuan,纳气归元
spell_jingangpoyue,金刚破岳
spell_zhenyuefu,镇岳符
spell_dingshenshu,定身术
spell_chuanliujin,川流劲
spell_lingguangshan,灵光闪
spell_shennianci,神念刺
spell_suodichengcun,缩地成寸
spell_julingshu,聚灵术
spell_lieshiquan,裂石拳
skill_wanfaguizong,万法归宗
skill_lantingyimo,兰亭遗墨
skill_tianfuzhenyue,天符镇岳
skill_yiqiguanshi,弈棋观势
skill_fayu_wanxiangxuanmen,法域·万象玄门
skill_sulizhengyi,肃礼正仪
skill_roushengchengsheng,肉身成圣
skill_lingguangguanri,灵光贯日
skill_lingyu_wanxiangguiyuan,灵域 · 万象归元
skill_suiyue,碎岳
skill_shennianguanchuan,神念贯穿
skill_jiweizhu,积微成著
skill_shishuiji,逝水千击
realm_lianshen,炼神
spell_beimingyin,北冥引
spell_fuyao,扶摇
spell_mingwei,冥微
spell_qiongli,穷理
spell_renhua,任化
spell_shoufen,守分
spell_shouzhen,守真
spell_tongbian,通变
spell_wudai,无待
spell_yangua,演卦
spell_yuye,玉液
#
# === 册界条目 ===
charter_entry_suifu_diji,水府地纪
#
# === 册界单据点 ===
charter_site_old_water_station,旧水驿
#
# === 正式薄切片 UI 文本接入（U-GZ-UI-TEXT-01）===
# 生产实体与状态的最小玩家显示文案；键值即稳定 ID / 稳定原因，玩家文本只在本卡表现边界单向消费。
region_guanzhong,关中
adventure_guanzhong_wild,关中野外
surface_grassland,草地
surface_loess,黄土
world_node_type_hub,区域枢纽
#
# === 单据点步骤（玩家显示）===
charter_step_unopened,尚未打开
charter_step_passage,通行确认
charter_step_management,管理确认
charter_step_nodes,接通节点
charter_step_registration,条目登记
charter_step_supplies,准备供给
charter_step_evaluation,评估推演
charter_step_committed,已正式提交
#
# === 悬赏状态（玩家显示）===
bounty_status_available,可接取
bounty_status_accepted,已接取
bounty_status_completed,目标已完成
bounty_status_claimed,已领取
#
# === 据点与功能稳定原因（玩家显示）===
settlement_catalog_missing,据点数据不可用
settlement_not_found,据点不存在
settlement_not_in_first_batch_production_scope,该据点尚未开放
settlement_adventure_not_available,副本入口不可用
settlement_feature_missing,功能数据缺失
settlement_feature_disabled,功能未开放
settlement_feature_unknown,功能不存在
settlement_feature_dispatcher_missing,功能入口不可用
settlement_feature_handler_failed,功能操作失败
settlement_charter_site_panel_missing,单据点面板不可用
settlement_charter_site_missing,单据点不存在
settlement_charter_site_not_current_settlement,单据点不属于当前据点
settlement_charter_static_catalog_unavailable,单据点规则数据不可用
settlement_charter_session_missing,存档数据不可用
charter_site_entry_opened,单据点已打开
charter_site_entry_unavailable,单据点入口不可用
bounty_board_entry_opened,悬赏板已打开
#
# === 悬赏稳定原因（玩家显示）===
bounty_board_no_bounties,悬赏栏暂无悬赏
bounty_board_catalog_missing,悬赏数据不可用
bounty_board_session_missing,存档数据不可用
bounty_catalog_missing,悬赏数据不可用
bounty_id_invalid,悬赏标识不合法
bounty_missing,悬赏不存在
bounty_not_production,该悬赏尚未开放
bounty_wrong_settlement,此处不发布该悬赏
bounty_settlement_missing,据点数据不可用
bounty_accept_repeated,该悬赏已经接取
bounty_objective_type_unsupported,该悬赏类型不受支持
bounty_repeat_policy_unsupported,该悬赏重复规则不受支持
bounty_required_count_invalid,悬赏目标数量不合法
bounty_target_invalid,悬赏目标不合法
bounty_target_enemy_missing,悬赏目标敌人不存在
bounty_adventure_invalid,悬赏冒险地点不合法
bounty_reward_invalid,悬赏奖励不合法
bounty_reward_item_missing,悬赏奖励物品不存在
bounty_reward_item_not_production,悬赏奖励物品未开放
bounty_reward_item_stack_invalid,悬赏奖励堆叠不合法
bounty_not_accepted,尚未接取该悬赏
bounty_not_completed,悬赏目标尚未完成
bounty_claim_repeated,该悬赏已经领取
bounty_defeat_wrong_adventure,击杀地点不符
bounty_defeat_wrong_enemy,击杀目标不符
bounty_progress_invalid,悬赏进度不合法
bounty_progress_out_of_range,悬赏进度超出范围
bounty_claim_inventory_rejected,奖励发放失败
#
# === 单据点交互稳定原因（玩家显示）===
charter_panel_formal_committed,正式提交成功
charter_panel_controller_missing,单据点面板不可用
charter_interaction_input_invalid,提交数据不合法
charter_interaction_site_unavailable,单据点数据不可用
charter_interaction_site_not_current_settlement,单据点不属于当前据点
charter_interaction_catalog_unavailable,规则数据不可用
charter_interaction_definition_missing,条目定义缺失
charter_interaction_action_out_of_order,步骤顺序不正确
charter_interaction_passage_unavailable,通行门禁不可用
charter_interaction_passage_mismatch,通行身份不符
charter_interaction_management_mismatch,管理身份不符
charter_interaction_seal_declaration_unresolved,界印声明无法解析
charter_interaction_node_unknown,声明节点不存在
charter_interaction_node_set_mismatch,节点集合不符
charter_interaction_entry_mismatch,登记条目不符
charter_interaction_relic_mismatch,遗物不符
charter_interaction_authorization_mismatch,授权版本不符
charter_interaction_supply_unknown,声明供给不存在
charter_interaction_supply_set_mismatch,供给集合不符
charter_interaction_preparation_incomplete,前置步骤尚未完成
charter_interaction_grant_invalid,凭据无效
charter_interaction_candidate_invalid,候选无效
#
# === 册界规则与冲突稳定原因（玩家显示）===
charter_invocation_request_invalid,调用请求不合法
charter_passage_denied,通行被拒绝
charter_seal_management_denied,管理确认被拒绝
charter_authorization_version_denied,授权版本被拒绝
charter_node_disconnected,节点未接通
charter_coverage_out_of_boundary,覆盖超出边界
charter_reality_supply_unavailable,现实供给不可用
charter_atomic_commit_incomplete,原子提交不完整
charter_variable_out_of_boundary,变量超出边界
charter_unknown_conflict_grant,冲突凭据未知
charter_cross_tier_authorization_denied,跨阶授权被拒绝
charter_conflict_not_won,册界候选未获胜
#
# === 册界环境投影稳定原因（玩家显示）===
charter_environment_projection_no_long_term_state,册界环境引用未生效（尚未正式提交）
charter_environment_projection_no_current_region_entry,册界环境引用未生效（当前地区无条目）
charter_environment_projection_duplicate_current_region_entry,册界环境引用未生效（地区条目重复）
charter_environment_projection_unknown_rule_entry,册界环境引用未生效（条目未知）
charter_environment_projection_catalog_unavailable,册界环境引用未生效（规则数据不可用）
charter_environment_projection_duplicate_environment_id,册界环境引用未生效（环境档案重复）
charter_environment_projection_asset_profile_mismatch,册界环境引用未生效（环境档案不符）
#
# === 正式遭遇稳定原因（玩家显示）===
formal_encounter_catalog_missing,正式遭遇配置缺失（目录不可用）
formal_encounter_enemy_missing,正式遭遇配置缺失（敌人不存在）
formal_encounter_enemy_scope_invalid,正式遭遇配置缺失（敌人范围无效）
formal_encounter_combat_template_missing,正式遭遇配置缺失（战斗模板缺失）
formal_encounter_drops_missing,正式遭遇配置缺失（掉落缺失）
formal_encounter_drop_invalid,正式遭遇配置缺失（掉落无效）
formal_encounter_drop_item_missing,正式遭遇配置缺失（掉落物品不存在）
formal_encounter_drop_item_not_production,正式遭遇配置缺失（掉落物品未开放）
formal_encounter_drop_item_stack_invalid,正式遭遇配置缺失（掉落堆叠无效）
formal_encounter_already_consumed,本场战斗结果已结算
formal_encounter_session_missing,存档数据不可用
formal_encounter_inventory_grant_failed,掉落发放失败
formal_encounter_enemy_not_configured,正式遭遇配置缺失
formal_encounter_spawn_failed,正式敌人生成失败
formal_encounter_runtime_identity_invalid,遭遇对象校验失败
formal_encounter_defeated_member_mismatch,战斗结算成员不一致
#
# === 空间查询稳定原因（玩家显示）===
cell_not_configured,地形数据未配置
directed_edge_not_configured,地形数据未配置
reverse_directed_edge_not_permitted,方向不可通行
directed_edge_blocks_movement,移动受阻
directed_edge_blocks_effects,交互受阻
entity_obstacle,有物体阻挡
movement_blocked,移动受阻
sight_blocked,视线受阻
height_rule_unconfigured,地形规则未配置
no_legal_path_within_query_limit,无法通行
below_min_range,距离过近
above_max_range,距离过远
occupied,该格被占据
distance_budget_exhausted,移动力不足
spatial_query_not_configured,地形数据未配置
