# Spells config (2026-06-14)
name,type,minRange,maxRange,mpCost,cooldownTicks,healAmount,cannotBlock,cannotDodge,penetratingShield,stunChance,realmReq,elementReq,element,affiliation,contentScope,physicalDamageMultiplier,soulDamageMultiplier
spell_hufubingce,2,1,4,55,30,0,0,0,0,0,realm_yuanying,element_metal_root,element_metal_root,faction_hunyuanshan,reserved,0,0.8
spell_wanchengtianwei,0,0,2,80,40,0,0,0,0,0,realm_huashen,element_earth_root,element_earth_root,faction_hunyuanshan,reserved,2.8,0
spell_jianbiqingye,2,0,0,70,45,0,0,0,0,0,realm_huashen,element_earth_root,element_earth_root,faction_hunyuanshan,reserved,0,0.2

# === Taixuguan (15) ===
spell_tx_anshi,2,1,4,10,6,0,0,0,0,0,realm_lianqi,element_dark_root,element_dark_root,faction_taixuguan,player,0,1.1
spell_youmingyin,1,1,5,10,8,0,0,0,0,0,realm_lianqi,element_dark_root,element_dark_root,faction_taixuguan,player,0,0.3
spell_rumengjue,1,2,5,12,10,0,0,0,0,0,realm_lianqi,element_dark_root,element_dark_root,faction_taixuguan,player,0,0.2
spell_yehuozhou,1,1,5,20,15,0,0,0,0,0,realm_zhuji,element_dark_root,element_dark_root,faction_taixuguan,player,0,1.5
spell_dimafengling,2,0,0,22,16,0,0,0,0,0,realm_zhuji,element_dark_root,element_dark_root,faction_taixuguan,player,0,0.2
spell_huangquanzhaoying,1,2,5,18,14,0,0,0,0,0,realm_zhuji,element_dark_root,element_dark_root,faction_taixuguan,player,0,0.3
spell_mengyanxixin,1,2,5,35,20,0,0,0,0,0,realm_jindan,element_dark_root,element_dark_root,faction_taixuguan,player,0,1.8
spell_yinguosilv,1,2,6,28,18,0,0,0,0,0,realm_jindan,element_dark_root,element_dark_root,faction_taixuguan,player,0,0.3
spell_lunhuichanxiang,1,0,0,30,30,0,0,0,0,0,realm_jindan,element_dark_root,element_dark_root,faction_taixuguan,player,0,0.2
spell_hunguibian,1,2,6,45,30,0,0,0,0,0,realm_jindan,element_dark_root,element_dark_root,faction_taixuguan,player,0,2.2
spell_yongjiehuilang,1,2,6,60,35,0,0,0,0,0,realm_yuanying,element_dark_root,element_dark_root,faction_taixuguan,reserved,0,2.5
spell_suhuijuexing,1,0,0,50,40,0,0,0,0,0,realm_yuanying,element_dark_root,element_dark_root,faction_taixuguan,reserved,0,0.2
spell_sanqianmengjie,1,3,7,70,45,0,0,0,0,0,realm_huashen,element_dark_root,element_dark_root,faction_taixuguan,reserved,0,0.5
spell_yinguodaoxuan,1,2,7,75,40,0,0,0,0,0,realm_huashen,element_dark_root,element_dark_root,faction_taixuguan,reserved,0,2.8
spell_wanjunyinxian,1,0,0,50,16,0,0,0,0,0,realm_yuanying,element_metal_root,element_metal_root,faction_taiyidaoting,reserved,0,0.8
spell_wanliuguizong,2,3,10,120,60,0,0,0,0,0,realm_lianshen,element_water_root,element_water_root,faction_taiyidaoting,reserved,0,3.0
spell_buhuaijinshen,1,0,0,40,15,0,0,0,0,10,realm_yuanying,element_metal_root,element_metal_root,faction_taiyidaoting,reserved,0,0.0
spell_jiuyuanhanquan,3,2,5,40,35,0,0,0,0,0,realm_jindan,element_water_root,element_water_root,faction_taiyidaoting,player,0,1.2
spell_jiuzhuandanhuo,3,1,3,28,12,0,0,0,0,0,realm_jindan,element_fire_root,element_fire_root,faction_taiyidaoting,player,0,0.8
spell_wuleifuchi,2,1,6,55,18,0,0,0,0,10,realm_huashen,element_thunder_root,element_thunder_root,faction_taiyidaoting,reserved,0,1.8
spell_junshirushan,1,0,0,30,12,0,0,1,0,0,realm_jindan,element_earth_root,element_earth_root,faction_taiyidaoting,player,0,0.0
spell_dadaoxuanyin,2,1,8,80,50,0,0,0,0,0,realm_huashen,element_none,element_none,faction_taiyidaoting,reserved,0,2.5
spell_tianshuyunzhuan,2,0,0,80,20,0,0,0,0,20,realm_lianshen,element_water_root,element_water_root,faction_taiyidaoting,reserved,0,1.0
spell_tiangangfuzhen,2,1,5,50,40,0,0,0,0,0,realm_yuanying,element_none,element_none,faction_taiyidaoting,reserved,0,0.0
spell_taiqingyuye,2,0,0,45,15,0,0,0,0,0,realm_yuanying,element_wood_root,element_wood_root,faction_taiyidaoting,reserved,0,0.0
spell_yufenglingxu,2,0,0,25,15,0,0,0,0,0,realm_jindan,element_wind_root,element_wind_root,faction_taiyidaoting,player,0,0.0
spell_jiangliutiandi,2,2,7,60,45,0,0,0,0,0,realm_yuanying,element_water_root,element_water_root,faction_taiyidaoting,reserved,0,2.0
spell_qingfengjue,2,0,0,10,5,0,0,0,0,0,realm_lianqi,element_wind_root,element_wind_root,faction_taiyidaoting,player,0,0.0
spell_lingfumiaofa,2,1,5,20,8,0,0,0,0,0,realm_jindan,element_none,element_none,faction_taiyidaoting,player,0,0.5
spell_xuanyuanzhengqijue,2,1,6,35,25,0,0,0,0,0,realm_jindan,element_none,element_none,faction_taiyidaoting,player,0,1.8
spell_pozhenci,1,0,2,12,7,0,0,0,0,0,realm_lianqi,element_metal_root,element_metal_root,faction_taiyidaoting,player,0,1.5
spell_panshizhuang,1,0,0,10,5,0,0,0,0,0,realm_lianqi,element_earth_root,element_earth_root,faction_taiyidaoting,player,0,0.0
spell_naqiguiyuan,2,0,0,15,5,20,0,0,0,0,realm_lianqi,element_none,element_none,faction_taiyidaoting,player,0,0.0
spell_jingangpoyue,1,0,1,22,10,0,0,0,0,0,realm_jindan,element_metal_root,element_metal_root,faction_taiyidaoting,player,0,1.8
spell_zhenyuefu,2,1,6,30,30,0,0,0,0,0,realm_zhuji,element_earth_root,element_earth_root,faction_taiyidaoting,player,0,0.0
spell_dingshenshu,2,1,4,25,15,0,0,0,0,50,realm_zhuji,element_water_root,element_water_root,faction_sanxiu,player,0,0.0
spell_chuanliujin,1,0,2,20,8,2,0,0,0,0,realm_zhuji,element_water_root,element_water_root,faction_sanxiu,player,0,1.25
spell_lingguangshan,2,2,4,20,10,0,0,0,0,0,realm_zhuji,element_none,element_none,faction_sanxiu,player,0,1.2
spell_shennianci,2,1,5,20,15,0,0,0,0,0,realm_zhuji,element_none,element_none,faction_sanxiu,player,0,1.5
spell_suodichengcun,2,0,0,20,10,0,0,0,0,0,realm_jindan,element_earth_root,element_earth_root,faction_sanxiu,player,0,0.0
spell_julingshu,2,0,2,0,5,0,0,0,0,0,realm_lianqi,element_none,element_none,faction_sanxiu,player,0,0.0
spell_lieshiquan,1,0,1,20,12,0,0,0,0,0,realm_zhuji,element_earth_root,element_earth_root,faction_sanxiu,player,0,1.3

# === Guxiu (11) ===
spell_beimingyin,1,1,3,12,8,0,0,0,0,0,realm_lianqi,element_water_root,element_water_root,faction_guxiu,reserved,0,1.2
spell_fuyao,6,1,5,25,18,0,0,0,0,0,realm_zhuji,element_wind_root,element_wind_root,faction_guxiu,reserved,0.8,0.8
spell_mingwei,1,2,5,25,12,0,0,0,0,0,realm_jindan,element_water_root,element_water_root,faction_guxiu,reserved,0,1.2
spell_qiongli,1,1,5,35,30,0,0,0,0,0,realm_jindan,element_wood_root,element_wood_root,faction_guxiu,reserved,0,1.8
spell_renhua,1,1,5,30,18,0,0,0,0,0,realm_jindan,element_wind_root,element_wind_root,faction_guxiu,reserved,0,1.4
spell_shoufen,3,0,0,20,14,0,0,0,0,0,realm_jindan,element_wind_root,element_wind_root,faction_guxiu,reserved,0,0
spell_shouzhen,4,0,0,14,12,0,0,0,0,0,realm_lianqi,element_wood_root,element_wood_root,faction_guxiu,reserved,0,0
spell_tongbian,3,0,0,22,10,0,0,0,0,0,realm_jindan,element_star_root,element_star_root,faction_guxiu,reserved,0,0
spell_wudai,5,0,0,15,5,0,0,0,0,0,realm_zhuji,element_wind_root,element_wind_root,faction_guxiu,reserved,0,0
spell_yangua,6,1,4,28,20,0,0,0,0,0,realm_jindan,element_star_root,element_star_root,faction_guxiu,reserved,0.9,0.7
spell_yuye,2,0,2,30,15,0,0,0,0,0,realm_zhuji,element_wood_root,element_wood_root,faction_guxiu,reserved,0,0
