# GongFa config (2026-06-14)
name,affiliation,grade,elementMain,elementSub,starRootBone,starPhysique,starSpirit,starMind,starReaction,starTalent,starFortune,growth,chapters,contentScope
# Hunyuanshan
gongfa_hanhongguangda,faction_hunyuanshan,grade_high,element_earth,element_metal,4,3,4,4,1,3,3,realm_lianqi:11/4/5/4/4/2/2/0.2/0.2|realm_zhuji:107/47/40/33/33/17/10/0.5/0.8|realm_jindan:507/467/200/187/160/92/38/0.8/1.7|realm_yuanying:2400/1867/800/733/667/375/125/1/2.5|realm_huashen:9333/8667/3333/3067/2667/1500/375/1.2/3.8,chapter_hanzhang:realm_lianqi:3:3:0:0:0:0:0:0:desc_kunde|chapter_houde:realm_zhuji:3:3:0:0:0:0:0:0:desc_zaiwu|chapter_zaiwu:realm_jindan:3:3:0:0:0:0:0:0:desc_kunyuan|chapter_hanhong:realm_yuanying:3:3:0:0:0:0:0:0:desc_hanhong|chapter_guangda:realm_huashen:3:3:0:0:0:0:0:0:desc_xianheng|chapter_pinwu:realm_huashen:3:3:0:0:0:0:0:0:desc_pinwu,reserved
gongfa_baiwuqingyun,faction_hunyuanshan,grade_mid,element_earth,element_metal,3,2,3,4,1,4,4,realm_lianqi:11/4/5/4/4/3/3/0.2/0.4|realm_zhuji:107/47/40/33/33/27/16/0.5/1.3|realm_jindan:507/467/200/187/160/147/60/0.8/2.7|realm_yuanying:2400/1867/800/733/667/600/200/1/4,chapter_baiwu:realm_fanren:0:0:0:3:0:0:3:0:desc_hanmen|chapter_hanchuang:realm_lianqi:0:0:0:3:0:0:3:0:desc_kudu|chapter_pojian:realm_zhuji:0:0:0:3:0:0:3:0:desc_tuoying|chapter_tengxiao:realm_jindan:0:0:0:3:0:0:3:0:desc_pingbu|chapter_jingwei:realm_yuanying:0:0:0:3:0:0:3:0:desc_jingshi|chapter_qingyun:realm_yuanying:0:0:0:3:0:0:3:0:desc_jinglun,reserved
gongfa_hunyuantongchen,faction_hunyuanshan,grade_top,element_earth,element_metal,5,4,4,3,1,3,4,realm_lianqi:13/2/7/2/5/2/2/0.2/0.2|realm_zhuji:133/29/50/21/42/17/10/0.5/0.8|realm_jindan:633/292/250/117/200/92/38/0.8/1.7|realm_yuanying:3000/1167/1000/458/833/375/125/1/2.5|realm_huashen:11667/5417/4167/1917/3333/1500/375/1.2/3.8,chapter_tongchen:realm_jindan:3:3:0:0:0:0:0:0:desc_wanjun_ally|chapter_heguang:realm_yuanying:3:3:0:0:0:0:0:0:desc_xuantong|chapter_wancheng:realm_huashen:3:3:0:0:0:0:0:0:desc_qingyue,reserved
gongfa_shengmozhengfa,faction_hunyuanshan,grade_mid,element_earth,element_metal,4,3,4,4,1,3,2,realm_lianqi:5/2/3/2/2/1/1/0.2/0.2|realm_zhuji:53/23/20/17/17/13/8/0.5/0.7|realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2,chapter_fadu:realm_lianqi:3:0:0:0:3:0:0:0:desc_shuwu|chapter_shengmo:realm_zhuji:3:0:0:0:3:0:0:0:desc_zhengfa|chapter_zhengfa:realm_jindan:3:0:0:0:3:0:0:0:desc_yanming|chapter_yanji:realm_yuanying:3:0:0:0:3:0:0:0:desc_buyi|chapter_buyi:realm_yuanying:3:0:0:0:3:0:0:0:desc_junhun,reserved

# Taixuguan
gongfa_wanwubuqian,faction_taixuguan,grade_mid,element_dark,element_earth,2,1,3,2,1,3,1,realm_lianqi:5/2/3/2/2/1/1/0.2/0.2|realm_zhuji:53/23/20/17/17/13/8/0.5/0.7|realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2,chapter_gezhu:realm_jindan:3:0:0:3:0:0:0:0:desc_buqian|chapter_gexing:realm_yuanying:3:0:0:3:0:0:0:0:desc_gujin,reserved
gongfa_buzhenzixu,faction_taixuguan,grade_mid,element_dark,,1,1,3,3,1,2,1,realm_lianqi:5/2/3/2/2/1/1/0.2/0.2|realm_zhuji:53/23/20/17/17/13/8/0.5/0.7|realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2|realm_huashen:4667/4333/1667/1533/1333/1200/300/1.2/3,,reserved
gongfa_nanhuaxuangan,faction_taixuguan,grade_mid,element_dark,element_water,1,1,3,3,1,2,2,realm_lianqi:5/2/3/2/2/1/1/0.2/0.2|realm_zhuji:53/23/20/17/17/13/8/0.5/0.7|realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2,chapter_wuxin:realm_lianqi:3:0:3:0:0:0:0:0:desc_wudai|chapter_jise:realm_zhuji:3:0:3:0:0:0:0:0:desc_sekong|chapter_youxuan:realm_jindan:3:0:3:0:0:0:0:0:desc_xuantong_chapter|chapter_xiaoyao:realm_yuanying:3:0:3:0:0:0:0:0:desc_wuwu,reserved
gongfa_xinwuxingyou,faction_taixuguan,grade_mid,element_dark,,1,1,3,2,1,3,1,realm_lianqi:5/2/3/2/2/1/1/0.2/0.2|realm_zhuji:53/23/20/17/17/13/8/0.5/0.7|realm_jindan:253/233/100/93/80/73/30/0.8/1.3,,player
gongfa_yunzhuandurenjing,faction_taiyidaoting,grade_mid,element_wind,element_water,2,1,3,5,4,3,3,realm_zhuji:47/23/13/20/13/17/8/0.5/1.3|realm_jindan:233/233/73/100/67/80/30/0.8/2.0|realm_yuanying:1067/933/300/400/267/333/100/1/3|realm_huashen:4667/4333/1200/1667/1067/1333/300/1.2/5,chapter_lingbao:realm_zhuji:3:3:0:0:0:0:0:0:desc_lingbao_fudan|chapter_duren:realm_jindan:3:3:0:0:0:0:0:0:desc_duren_evolution|chapter_yunzhuan:realm_yuanying:3:3:0:0:0:0:0:0:desc_yunzhuan_taixu|chapter_tianshu:realm_huashen:3:3:0:0:0:0:0:0:desc_tianshu_duer,reserved
gongfa_nanhuadamengshu,faction_guxiu,grade_top,element_water,element_wind,2,2,3,3,2,3,3,realm_lianqi:5/2/3/2/2/1/1/0.2/0.2|realm_zhuji:53/23/20/17/17/13/8/0.5/0.7|realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2|realm_huashen:4667/4333/1667/1533/1333/1200/300/1.2/3|realm_lianshen:20000/18667/6667/6000/5000/4667/1000/1.5/4,chapter_xiaoyaoyou:realm_lianqi:3:3:0:0:0:0:0:0:desc_xiaoyao_dodge|chapter_qiwulun:realm_zhuji:3:3:0:0:0:0:0:0:desc_qiwu_diehua|chapter_dazongshi:realm_jindan:3:3:0:0:0:0:0:0:desc_dazongshi_qiankun|chapter_yingdiwang:realm_yuanying:3:3:0:0:0:0:0:0:desc_yingdiwang_huapeng|chapter_qiushui:realm_huashen:3:3:0:0:0:0:0:0:desc_qiushui_mengdie|chapter_tianxia:realm_lianshen:3:3:0:0:0:0:0:0:desc_tianxia_wudai,reserved
gongfa_nanhuachanyandian,faction_guxiu,grade_high,element_wind,element_water,1,1,3,3,3,2,2,realm_jindan:83/233/33/93/26/73/30/0.8/1.3|realm_yuanying:396/933/132/367/110/300/100/1/2|realm_huashen:1540/4333/550/1533/440/1200/300/1.2/3,chapter_duhua:realm_jindan:3:3:0:0:0:0:0:0:desc_duhua_zisheng|chapter_xingfen:realm_yuanying:3:3:0:0:0:0:0:0:desc_xingfen_ziran|chapter_xuanming:realm_huashen:3:3:0:0:0:0:0:0:desc_xuanming_duhua,reserved
gongfa_dadonglianzhenjing,faction_taiyidaoting,grade_mid,element_earth,element_wood,4,2,3,4,4,3,3,realm_lianqi:5/2/3/2/2/2/1/0.2/0.3|realm_zhuji:53/23/20/17/17/17/8/0.5/1.0|realm_jindan:253/233/100/93/80/80/30/0.8/1.7|realm_yuanying:1200/933/400/367/333/333/100/1/2|realm_huashen:4667/4333/1667/1533/1333/1333/300/1.2/3,chapter_fuqi:realm_lianqi:3:3:0:0:0:0:0:0:desc_fuqi_danhuo|chapter_caiyao:realm_zhuji:3:3:0:0:0:0:0:0:desc_caiyao_evolution|chapter_jiuzhuan:realm_jindan:3:3:0:0:0:0:0:0:desc_jiuzhuan_evolution|chapter_huandan:realm_yuanying:3:3:0:0:0:0:0:0:desc_huandan_evolution|chapter_taiqing:realm_huashen:3:3:0:0:0:0:0:0:desc_taiqing_evolution,reserved
gongfa_taiyishancangjing,faction_guxiu,grade_top,element_earth,element_star,2,2,3,3,3,2,2,realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2|realm_huashen:4667/4333/1667/1533/1333/1200/300/1.2/3|realm_lianshen:20000/18667/6667/6000/5000/4667/1000/1.5/4,chapter_zhouyi:realm_jindan:3:3:0:0:0:0:0:0:desc_zhouyi_yishu|chapter_lianshan:realm_yuanying:3:3:0:0:0:0:0:0:desc_lianshan_evolution|chapter_guicang:realm_huashen:3:3:0:0:0:0:0:0:desc_guicang_evolution|chapter_taiji:realm_lianshen:3:3:0:0:0:0:0:0:desc_taiji_evolution,reserved
gongfa_taiyixuanyijian,faction_lantaishuyuan,grade_mid,element_earth,element_metal,2,2,3,3,2,2,2,realm_zhuji:36/15/13/11/11/9/8/0.5/0.7|realm_jindan:170/156/67/62/54/49/30/0.8/1.3|realm_yuanying:804/625/268/246/223/201/100/1/2|realm_huashen:3127/2903/1117/1027/893/804/300/1.2/3,chapter_mingtuan:realm_zhuji:3:3:0:0:0:0:0:0:desc_mingtuan_zhiyi|chapter_mingxiang:realm_jindan:3:3:0:0:0:0:0:0:desc_mingxiang_wangxiang|chapter_mingyao:realm_yuanying:3:3:0:0:0:0:0:0:desc_mingyao_tongbian|chapter_gualue:realm_huashen:3:3:0:0:0:0:0:0:desc_gualue_wufang,reserved
gongfa_xuanpindaocang,faction_guxiu,grade_top,element_chaos,element_chaos,1,1,3,3,3,2,2,realm_huashen:4667/4333/1667/1533/1333/1200/300/1.2/3|realm_lianshen:20000/18667/6667/6000/5000/4667/1000/1.5/4,chapter_daokedao:realm_huashen:3:3:0:0:0:0:0:0:desc_daokedao_dao|chapter_xuanpin:realm_lianshen:3:3:0:0:0:0:0:0:desc_xuanpin_zhimen,reserved
gongfa_kongwuborejing,faction_taixuguan,grade_high,element_water,element_dark,1,1,3,3,2,1,1,realm_jindan:253/233/100/93/80/73/30/0.8/1.3|realm_yuanying:1200/933/400/367/333/300/100/1/2,chapter_kongguan:realm_jindan:3:3:0:0:0:0:0:0:desc_kongguan_zhaojian|chapter_wuxiang:realm_yuanying:3:3:0:0:0:0:0:0:desc_wuxiang_kongseyiru|chapter_zhenru:realm_huashen:3:3:0:0:0:0:0:0:desc_zhenru_borezhenru,reserved
gongfa_jiansubaopujing,faction_guxiu,grade_high,element_wood,element_earth,3,1,2,2,3,2,2,realm_lianqi:5/1/3/1/2/1/1/0.2/0.1|realm_zhuji:53/15/20/11/17/9/5/0.5/0.5|realm_jindan:253/156/100/62/80/49/20/0.8/0.9|realm_yuanying:1200/625/400/246/333/201/67/1/1.3|realm_huashen:4667/2903/1667/1027/1333/804/201/1.2/2|realm_lianshen:20000/18667/6667/6000/5000/4667/1000/1.5/4,chapter_jindanpian:realm_lianqi:3:3:0:0:0:0:0:0:desc_jindanpian_huangbai|chapter_xianyaopian:realm_zhuji:3:3:0:0:0:0:0:0:desc_xianyao_yuye|chapter_zhilipian:realm_jindan:3:3:0:0:0:0:0:0:desc_zhili_shouyi|chapter_dizhenpian:realm_yuanying:3:3:0:0:0:0:0:0:desc_dizhen_cunsi|chapter_xialanpian:realm_huashen:3:3:0:0:0:0:0:0:desc_xialan_wanjuan|chapter_quhuopian:realm_lianshen:3:3:0:0:0:0:0:0:desc_quhuo_bianzhen,reserved
gongfa_tongshensanxuanlilu,faction_taiyidaoting,grade_mid,element_metal,element_earth,3,1,2,2,3,2,2,realm_zhuji:53/15/20/11/17/9/5/0.5/0.5|realm_jindan:253/156/100/62/80/49/20/0.8/0.9|realm_yuanying:1200/625/400/246/333/201/67/1/1.3|realm_huashen:4667/2903/1667/1027/1333/804/201/1.2/2,chapter_zhouli:realm_zhuji:3:3:0:0:0:0:0:0:desc_zhouli_liuguan|chapter_yili:realm_jindan:3:3:0:0:0:0:0:0:desc_yili_sanjia|chapter_liji:realm_yuanying:3:3:0:0:0:0:0:0:desc_liji_liyun|chapter_tongshen:realm_huashen:3:3:0:0:0:0:0:0:desc_tongshen_sanxuanheyi,reserved
gongfa_jiujiangshuifulu,faction_taiyidaoting,grade_high,element_water,element_wind,2,1,4,4,2,4,4,realm_zhuji:40/30/15/23/13/20/8/0.5/1.0|realm_jindan:200/267/73/107/67/87/30/0.8/1.7|realm_yuanying:1000/1067/300/433/267/367/100/1/2|realm_huashen:4000/5000/1200/1800/1067/1467/300/1.2/4,chapter_shuifu:realm_zhuji:3:0:0:0:0:0:0:0:desc_shuifu_jiujiang|chapter_qiju:realm_jindan:3:0:0:0:0:0:0:0:desc_qiju_feishui|chapter_lingzhou:realm_yuanying:3:0:0:0:0:0:0:0:desc_lingzhou_jiujiang|chapter_shuicao:realm_huashen:3:0:0:0:0:0:0:0:desc_shuicao_duling,reserved
gongfa_sandongfajilu,faction_taiyidaoting,grade_mid,element_wind,element_water,2,1,3,4,2,4,3,realm_zhuji:47/23/13/17/13/17/8/0.5/1.0|realm_jindan:233/233/73/93/67/80/30/0.8/1.7|realm_yuanying:1067/933/300/367/267/333/100/1/2|realm_huashen:4667/4333/1200/1533/1067/1333/300/1.2/3,chapter_dongshen:realm_zhuji:3:3:0:0:0:0:0:0:desc_dongshen_sandong|chapter_dongxuan:realm_jindan:3:3:0:0:0:0:0:0:desc_dongxuan_jielu|chapter_dongzhen:realm_yuanying:3:3:0:0:0:0:0:0:desc_dongzhen_jiaoji|chapter_duji:realm_huashen:3:3:0:0:0:0:0:0:desc_duji_zongjiao,reserved
gongfa_taiyiyugedian,faction_taiyidaoting,grade_high,element_earth,element_metal,3,2,3,4,2,3,4,realm_zhuji:80/23/30/17/25/17/8/0.5/1.0|realm_jindan:380/233/150/93/120/80/30/0.8/1.7|realm_yuanying:1800/933/600/367/500/333/100/1/2|realm_huashen:7000/4333/2500/1533/2000/1333/300/1.2/3,chapter_lige:realm_zhuji:3:3:0:0:0:0:0:0:desc_lige_yuge|chapter_mingling:realm_jindan:3:3:0:0:0:0:0:0:desc_mingling_yuge|chapter_zhengfa:realm_yuanying:3:3:0:0:0:0:0:0:desc_zhengfa_yuge|chapter_yuge:realm_huashen:3:3:0:0:0:0:0:0:desc_yuge_tiancao,reserved
gongfa_wanfadulujing,faction_taiyidaoting,grade_high,element_water,element_wind,1,1,4,5,2,4,3,realm_jindan:83/267/33/107/26/110/38/0.8/2.0|realm_yuanying:500/1067/150/433/133/450/125/1/3|realm_huashen:2000/5000/600/1800/533/1800/375/1.2/5,chapter_dulu:realm_jindan:3:0:0:0:0:0:0:0:desc_dulu_wanfa|chapter_shefa:realm_yuanying:3:0:0:0:0:0:0:0:desc_shefa_guizong|chapter_zhengtong:realm_huashen:3:0:0:0:0:0:0:0:desc_zhengtong_chifa,reserved
gongfa_zhengyimengweilu,faction_taiyidaoting,grade_top,element_wind,element_thunder,2,1,4,5,2,5,4,realm_yuanying:1000/1067/300/433/267/450/125/1/3|realm_huashen:4000/5000/1200/1800/1067/1800/375/1.2/5,chapter_mengwei:realm_yuanying:3:0:0:0:0:0:0:0:desc_mengwei_zhenlu|chapter_xueshi:realm_huashen:3:0:0:0:0:0:0:0:desc_xueshi_xuemeng,reserved
