# 元婴锚点与金丹位格矩阵

✅ 已审核（2026-08-05 用户确认；Codex 同步具体位置与效果矩阵分层）

> 本文是十七道路变量边界与五十一个 `effect_id` 的唯一效果事实源，不负责生产或登记具体位置。表中中文名称均为功能性临时代号；`DS-JINDAN-NAMES-20260718-01` 完成并经 Codex 审查、用户确认前，不得把临时代号当作正式显示名。金丹结构与生命周期见 `元婴锚点与金丹位格设定.txt`，具体位置的内容生产与登记分别见 `金丹位格/金丹位格设计规范.txt`、`金丹位格/金丹位格索引.txt`，装配、兼容和冲突见 `金丹基础效果装配与冲突规则.txt`，自辟元婴方向见 `自辟元婴方向设定.txt`。

## 一、矩阵口径与字段

1. 每条道路当前固定三项基础效果；每项效果均有源版、化版、界版、实际战棋玩法包装与山河落点，共五十一个唯一 `effect_id`、一百五十三个位别版本。
2. 当前世界另有五十一个初始具体位置，由十七条道路各一个源位、一个化位和一个界位组成。位置数量与效果数量只是当前恰好相同；新增化位或界位不自动新增 `effect_id`，新增效果也不自动产生具体位置。
3. 每个具体位置从所属道路效果库声明显式白名单。当前初始五十一个位置均开放所属道路现有三项效果；后续新增化位或界位可以只开放其中一部分。每个真实位格同一时间只装配白名单中的一项。
4. 位格类型决定使用源版、化版或界版，效果不永久绑定到某种位格。实际权限还必须与具体位置的理念边界求交；白名单或位置理念都不能扩大基础效果已有权限。
5. 源版负责具体对象与具体操作；化版负责局部条件筛选和固定传播／转化；界版负责广域粗阵营和固定弱规则。后两者不得扩大源版对象或操作权限。
6. 同一效果跨位格可以纵向嵌套，不同效果默认独立，只有命中显式 `comboProfileId` 才能组合。组合产物不是新位置，也不产生新的占据或效果槽。
7. 显示数据分别表达道路、具体位置、位格类型和基础效果。效果名称字段只能跟随 `effect_id`，不得写入具体位置名称、道路名称或强制拼接标题。
8. “山河落点”只提供长期用途索引，不等同于完整主场景玩法。每个具体位置的主场景入口、操作、成本、维护、产出、对抗、失败与战棋反馈必须在独立位置文档中定义。
9. 本表不锁定倍率、目标数、持续、CT、灵力、资源或概率；任何调参数值进入配置与 BattleSim，不得据本表宣称平衡。

## 二、道路变量与不可越界项

| 根系 | 道路 | `road_id` | 道路根本权限 | 不可越界项 |
|---|---|---|---|---|
| 五行 | 木道路 | `ROAD_WOOD` | 木行的植木显化、五行关系与生发演化 | 战斗显化物不进入战利品或战后存档；不复活根基断绝者；不自由拼装无限进化树 |
| 五行 | 火道路 | `ROAD_FIRE` | 火行的火热显化、五行关系与升烈蔓延 | 不无燃料永久供能；不定义因果触发；不替阳道清除减益 |
| 五行 | 土道路 | `ROAD_EARTH` | 土行的土石显化、五行关系与地载重力 | 不修改真实空间尺度；不直接改 CT；不以重力生成身体器官或飞行资格 |
| 五行 | 金道路 | `ROAD_METAL` | 金行的金属显化、五行关系与磁极从革 | 不作用非金属主材质；不复制对象技能与灵性；不永久转移所有权 |
| 五行 | 水道路 | `ROAD_WATER` | 水行的水象显化、五行关系与潮汐易地 | 不运行全图流体；不传送对象；不改已结算结果；不修改几何高度 |
| 六识 | 见识道路 | `ROAD_SIGHT` | 观察者能看见、指认和辨识什么 | 不制造真实光照；不穿透封闭实体；不改变对象真实身份 |
| 六识 | 闻识道路 | `ROAD_HEARING` | 声音、行动声讯、传令通道与物质共振 | 不改 CT；不强制独立有情服从；不隔空作用无传声媒介对象 |
| 六识 | 息识道路 | `ROAD_BREATH` | 非独立有情灵性对象的控制、灵气流通与灵性启寂 | 不夺舍独立有情；不改变五行生克；不凭空创造完整灵魂 |
| 六识 | 食识道路 | `ROAD_INGEST` | 进入生命体的效果如何吸收、解释和定量转化 | 不处理体外结果；不直接修复结构；放大吸收必须支付代谢预算 |
| 六识 | 身识道路 | `ROAD_BODY` | 单锚点身体体型、形体配置、移动器官与修炼结构接口 | 不变成动态多格模板；不无器官获能力；不建垂直占位层；不改灵根品级；不永久毁号 |
| 六识 | 意识道路 | `ROAD_ACTION` | 当前行动的操作类别、目标集合与已形成行动意图 | 不替角色随机决策；不授予不存在技能；不免除资源和物理前置 |
| 阴阳 | 阴道路 | `ROAD_YIN` | 太阴、极阴之气主导的潜伏、寒封与有益状态压抑 | 不改历史；不把寒封写成时间停止；不清除永久构筑层 |
| 阴阳 | 阳道路 | `ROAD_YANG` | 太阳、极阳之气主导的贯照、亢奋与有害状态祛除 | 不替火无中生能；不替见识改视觉认知；不清除永久构筑层 |
| 宇宙 | 宇道路 | `ROAD_SPACE` | 固定六角拓扑上的加权距离、空间通行与空间封锁 | 不动态增删邻接；不创造土地；不无落点传送；不自动取得主权 |
| 宇宙 | 宙道路 | `ROAD_TIME` | CT、过程持续与角色局部状态快照 | 不倒放全场；不回滚 CT；不撤销外部结果或成本；不改受保护历史 |
| 因果 | 因道路 | `ROAD_CAUSE` | 效果由什么触发、因链由谁承接、发动支付什么 | 不凭空创造效果；不决定最终结果；不形成闭环触发 |
| 因果 | 果道路 | `ROAD_RESULT` | 尚未完成结算的结果内容、承受者和写入时点 | 不免除因债；不改受保护历史；不直接改境界、位格或人格 |

## 三、五行十五项效果

| effect_id | 功能性临时代号 | 源版 | 化版 | 界版 | 实际战棋玩法包装 | 山河落点 |
| METAL_MANIFEST | 金-金属显化 | 把灵力转为金属兵刃、甲片、锚桩、锁链、格边构件或小型刀山中的一种固定形态；生成物只存在于本场战斗。 | 局部按固定条件生成一种预设金属形态，如友方受击后生成护甲片，或敌人踏入后升起短刃。 | 范围内缓慢生成弱金属支点或统一构件，不能全场免费配发完整法宝或瞬生大型刀山。 | 玩家点选单位、地格或六角边铸出刃、甲、桩、链；金属构件具有耐久和可熔毁节点。 | 铸造、器械、城防、运输和矿业。 |
| METAL_FIELD | 金-金行灵域 | 对一个元素效果或对象选择承土生金、以金生水、以金克木，或强化／削弱金行中的一条操作。 | 局部筛选一种元素对象，固定执行一条金行关系。 | 范围内维持一条弱金行规则，如友方金行更稳或敌方木行生长受抑。 | 元素预览显示土凝金、水由金生和金制木的单向关系；金行阵眼可被熔化、掩埋或夺取。 | 矿脉、铸造、水源凝结、林业边界和五行军备。 |
| METAL_MAGNETISM | 金-磁极从革 | 对范围内主材质为金属的散落物、装备与法宝分别进行一次牵引对抗；失败物品立即进入无位置、无独立行动的百兵磁阵，施术者可统一齐射、护体，或投入 2／3／3 个节点临时形成刀山、锁狱／甲垒。金属召唤物失败时只重置到最近合法邻格，不能成为节点。 | 放置磁极核心并预设对象类别、触发条件和齐射、护体或一种结构；每次触发至多对第一个合格对象结算，节点达到阈值后自动执行。 | 选定一种金属类别；目标首次进入或在域内行动时进行一次较弱牵引对抗，失败装备只在域内被压制并计为域节点，不能拉动召唤物或自由选择多种阵势接口。 | 装备、法宝和散落物不生成临时战场实体；界面只显示角色或阵眼周围的聚合兵器特效、节点数和阵势档。吸纳前检查正常目标资格与空间封锁，吸纳后不结算路径、碰撞或单件模型。 | 选矿、器械归集、临时护阵、城防改铸和大型锻造。 |
| WATER_MANIFEST | 水-水象显化 | 把灵力转为洪流、冰体、雾区或水刃中的一种真实水象；水量、温度和去向必须结算。 | 局部按固定条件生成一种预设水象，如敌人移动后在落脚格形成浅水或冰面。 | 范围内形成弱潮湿、浅水、薄雾或结霜环境，只维持一条固定规则。 | 玩家拖出水流方向或点选冰雾形态；洪流推动、冰面改变移动、雾区遮挡普通视线，地形可被加热或导流。 | 水利、灌溉、航运、冷藏和雾区治理。 |
| WATER_FIELD | 水-水行灵域 | 对一个元素效果或对象选择承金生水、以水生木、以水克火，或强化／削弱水行中的一条操作。 | 局部筛选一种元素对象，固定执行一条水行关系。 | 范围内维持一条弱水行规则，如友方水行略强或敌方火行持续降温。 | 元素预览显示金凝水、水养木和水制火；导流节点与水源可以被截断。 | 水脉、林地供养、火灾抑制和五行循环。 |
| WATER_TIDE | 水-潮汐易地 | 选择真实水体后手动发动涨潮或退潮；没有真实水源时，可额外支付一次基础浅水显化建立临时潮眼，但本次只能涨潮。只在固定六角模板内做一次水路 BFS：涨潮令全部连通且不高于固定水线的地格各增加一级水量，退潮令连通水量链地格各降低一级；随后统一发动一次距离预算为 1 的定向潮推并冲蚀白名单构件。 | 预设潮眼或水源条件、潮向、固定模板与触发事件；缺少水源且未预付显化费用时待机，每次触发只执行一次同样的局部连通与一级变化。 | 维持一种公开潮向和固定模板，在环境周期发动弱潮；可达格集合只在潮眼、地形或阻水边界变化时重算，不能逐格选择。 | 覆盖层直接显示变化格、潮推箭头、预计落点与可冲蚀对象；水路 BFS 只读固定拓扑，潮推则沿固定方向消耗加权距离而不寻路，不做全图流体或动态网格形变。 | 防洪、灌溉、排水、航运、冲淤治理和湿地改造。 |

## 四、阴阳与宇宙十二项效果

| effect_id | 功能性临时代号 | 源版 | 化版 | 界版 | 实际战棋玩法包装 | 山河落点 |
|---|---|---|---|---|---|---|
| YIN_CONCEAL | 阴-绝隐 | 令一个目标进入强潜伏状态，对筑基及以下普通视觉和感知完全隐身，攻击、施法和移动都不主动现形；范围作用、实体碰撞及同阶规则仍可挑战。 | 局部自动使符合条件者隐身，但其发动攻击、术法或强交互时立即现形。 | 选定阵营在广域中获得弱隐身，敌人进入邻接或预设近距即现形。 | 源版模型仅保留己方暗影轮廓；化版动作按钮标明“使用后现形”；界版在敌人靠近时显示显形半径。 | 潜伏运输、秘密设施、组织隐蔽和边境渗透。 |
| YIN_COLD | 阴-太阴寒封 | 手动冻结一个目标、身体模块、装置或地格，可选择大幅减速、封住移动、停止再生或冻住机关中的一项；不移动 CT。 | 局部筛选一类对象，使其持续积累寒度并按固定阈值减速或冻结。 | 范围内形成弱太阴寒域，移动和高频运转持续受寒，但不会全场静止。 | 寒度条、结冰部位和可破坏寒源直接显示；取暖、离域或击碎冰壳可以恢复。 | 冷藏、寒区设施、灾害抑制和水利冻结。 |
| YIN_BUFF_LOCK | 阴-增益寂灭 | 清除一个目标全部 `BUFF` 与 `MIXED` 的 `NORMAL` 临时状态，并在维持期间禁止两类极性再次写入；`ANCHORED` 进入同阶冲突，`SOURCE_ONLY`、姿态、过程、任务和生死载体不受影响。 | 预设一个 `statusTag`，统一清除并禁止同时符合该标签与 `BUFF`／`MIXED` 极性的临时状态。 | 预设一个标签；选定阵营不能获得该标签且来源为 `OTHER_ABILITY` 或 `ENVIRONMENT` 的新 `BUFF`／`MIXED`，已有状态、自身能力、装备触发与系统代价不被全域清除。 | 目标状态栏的增益与混合图标熄灭并留下封禁槽；姿态栏、过程条、任务标记和生死状态使用独立界面，不伪装成不可祛除增益。 | 禁祝区、组织增益管制和地区法令。 |
| YANG_RADIANCE | 阳-太阳贯照 | 手动投射强光束或远程光标：可把落点作为临时共享视点、破除普通隐匿，或令一个依赖视觉的观察者过曝目盲；光路不能穿越封闭实体。 | 局部筛选一种行为，使移动、攻击或施法者脚下生成固定照明／破隐区，或对进入者施加短暂过曝。 | 战场维持弱日照，黑暗和普通隐匿难以完全遮蔽行动，但同阶阴道与见识仍须冲突结算。 | 玩家在远处落下太阳光标，区域变亮并加入共享视野；过曝目标的视野扇区变白而非随机失误。 | 照明、巡查、公开仪式、祛暗和农时。 |
| YANG_SURGE | 阳-极阳亢奋 | 令一个生命、灵性装置或持续术法进入极阳高响应，强化下一次既有攻击、移动、治疗或阵法输出，随后产生过热和疲劳；不增加行动次数。 | 局部筛选一类模块，统一进入预设亢奋路径。 | 选定阵营的一类主动输出获得弱亢奋，同时全域积累共同热压。 | 玩家选择一个模块推入白热段；结算后图标转为红热裂纹，需要停手或散热。 | 动员、赶工、旺季生产和高响应组织。 |
| YANG_DEBUFF_LOCK | 阳-减益祛禁 | 清除一个目标全部 `DEBUFF` 与 `MIXED` 的 `NORMAL` 临时状态，并在维持期间禁止两类极性再次写入；`ANCHORED` 进入同阶冲突，`SOURCE_ONLY`、姿态、过程、任务和生死载体不受影响。 | 预设一个 `statusTag`，统一清除并禁止同时符合该标签与 `DEBUFF`／`MIXED` 极性的临时状态。 | 预设一个标签；选定阵营不能获得该标签且来源为 `OTHER_ABILITY` 或 `ENVIRONMENT` 的新 `DEBUFF`／`MIXED`，已有状态、自身能力、装备触发与系统代价不被全域清除。 | 状态栏的减益与混合图标被阳光推出并留下祛禁槽；新状态被拒绝时显示固定极性、来源与保护级别。 | 疫病抑制、祓禳、公共卫生和地区净化。 |
| SPACE_SCALE | 宇-空间尺度 | 手动选择一段相连六角边或一个小区域及压缩／扩张档，客观改写其中既有边的 `metricDistance`；移动、攻击／施法射程、强制位移、范围和视野统一读取加权距离。普通近战射程为 1，因此可出现相邻却不可及或隔数格仍可及，但拓扑邻接永不改变。 | 预设固定形状、锚点、触发条件与一个尺度档；满足条件时在该地点建立同样影响所有阵营与距离用途的客观局部场，不能只放大敌方移动而保留己方射程。 | 以基础拓扑范围维持一个公开的广域弱尺度场；域内同一条边对所有阵营与对象使用同一边长，同向重叠只取最强而不相乘。 | 六角边覆盖短距／长距纹，并显示悬停边长、移动路径和技能有效覆盖；目标拓扑相邻但超出射程时明确提示，不制作动态网格、弹道实体或几何弯曲动画。 | 道路距离、洞府尺度、运输与防区纵深。 |
| SPACE_TRANSIT | 宇-瞬移门径 | 把一个目标瞬移到可见或已标记的合法落点，或建立一对短期空间门；质量、封锁和落点占用必须检查。 | 局部自动把符合条件者送入一对预设门标，不能临场改出口。 | 范围内建立固定门网，只按粗阵营开放，出口和容量公开。 | 玩家点选目标与落点，或放置成对门标；出口被占、封印或摧毁时传送失败。 | 门路、洞府接入、紧急运输和地区交通。 |
| SPACE_SEAL | 宇-空间封锁 | 手动封住一个目标或小范围的进出边界，禁止跨界移动、瞬移或空间门接入；封锁本身有可攻击锚点。 | 局部筛选一种通行行为，统一阻断预设对象或方向。 | 范围边缘形成固定粗封锁，只限制一种阵营或一种空间通行。 | 六角边出现空间锁，移动和传送预览显示被拒原因；击碎锚点即可打开缺口。 | 禁区、洞府封闭、边境和避难设施。 |
| TIME_CT | 宙-CT 调节 | 手动增加或减少一个目标当前 CT，或缩放其剩余 CT；不能复制行动，越过行动门槛后的额外值按后续算法处理。 | 局部筛选一种行为，在固定事件后统一增减 CT 或改变 CT 获取倍率。 | 选定阵营在范围内获得一条弱 CT 获取倍率规则，不能逐人调轴。 | 行动轴显示加减值、倍率和预计新位置；所有变化都直接作用数值，不允许自由拖动标记。 | 轮值、排程、运输节奏和政务优先级。 |
| TIME_PROCESS | 宙-过程时长调节 | 手动处理一个持续状态或多阶段过程：可延长／缩短增益、减益，提前结算持续伤害或恢复，完成一段蓄力、冷却或机关阶段；必须记录时间补偿。 | 局部筛选一种状态或过程，固定执行同步、催进、压缩或延长中的一种。 | 范围内同类过程按固定节律共同变化，不能永久冻结。 | 玩家拖动持续环或阶段环；提前结算会消耗剩余段，延长会生成可见时间债。 | 工期、维护期、作物周期、修行阶段和协定期限。 |
| TIME_REWIND | 宙-状态回溯 | 选择目标最近若干个 `selfActionCheckpoint` 之一，整体恢复位置、生命状态、HP、灵力、临时状态、姿态／过程、冷却／充能等角色局部字段；其他对象与战场上的结果不撤销，其绑定成本及受保护历史重新应用。只有效果也被撤销的纯自用消耗品可返回原槽位，CT 永不回滚。 | 预设最新合法检查点和位置、HP、灵力、临时状态、姿态／过程、冷却／充能中的一个字段族，只回滚该类；不能退道具、复活或避开外部成本。 | 为选定粗阵营保留一个公开的近距 HP 检查点，并按固定触发只恢复 HP；不回滚位置、资源、状态、冷却、消耗品或死亡。 | 预览分列恢复项、保留的外部成本、受保护历史、替代落点和可退款物品；位置被占时按基础拓扑寻找最近合法格，不推动占位者。回溯只发布一次完成事件，不重演中间行动。 | 灾损恢复、工程版本回退、档案修复和短期状态复原。 |

## 五、六识十八项效果

| effect_id | 功能性临时代号 | 源版 | 化版 | 界版 | 实际战棋玩法包装 | 山河落点 |
|---|---|---|---|---|---|---|
| SIGHT_LOCK | 见-视觉锁定 | 为一个观察者锁定一个真实目标，使其在合法视线中获得精确位置、身份和视觉单体资格，并可正面挑战普通隐匿与形相伪装；不穿墙。 | 局部使符合条件的观察者自动锁定一种预设对象类别。 | 选定阵营获得广域粗轮廓或最后已知位置，不能凭轮廓完成精确单体指定。 | 所有效果都落在观察者视野层；目标被锁定后出现视觉连线和身份卡，遮挡仍会切断连线。 | 巡查、目标确认、设施识别和视觉档案。 |
| SIGHT_BLIND | 见-视觉剥夺 | 手动彻底关闭一个观察者的实时视觉，只保留自身格与非视觉认识入口。 | 局部令进入阵域的观察者失去共享视野并压缩视野半径或朝向。 | 全战场只切断选定阵营的共享视野，每个单位仍保留正常本地视觉。 | 被影响者画面的视野扇区按版本收缩；不是让施术目标“从别人眼里消失”。 | 盲区、边境封锁、视觉隔离和情报管制。 |
| SIGHT_IMAGE | 见-形相改写 | 手动全面改写一个观察者当前视觉中的模型、姓名、阵营、生命、CT和状态对应；观察者仍自行选择目标。 | 局部对符合条件的观察者套用一套固定伪装，如统一模型并隐藏固定信息组。 | 选定阵营只失去姓名、精确生命或状态中的一类细节，位置和阵营粗分类仍可辨。 | UI 明确显示哪些视觉字段被替换；源版最彻底，化版形成稳定局部迷阵，界版只做粗信息遮蔽。 | 服制、身份展示、仪式形相和公开信息管理。 |
| HEARING_READ | 闻-行动听取 | 持续听取一个目标已经形成的下一行动，显示技能、目标、路径、落点、道具和可破坏前置；计划改变时同步更新，不预知结果。 | 局部监听一种行为类别，只显示符合者的模糊意图与大致方向。 | 全战场对象完成行动后在发生位置留下短暂声迹，不显示身份、技能或结果。 | 行动意图以声线和箭头出现，关键前置被标记；玩家仍须用正常行动干预。 | 巡逻、工程、贸易和组织行动监测。 |
